rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore
834,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,True,critical,html-keyboard-response,29,80330,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.7659791440572373
851,f,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,True,critical,html-keyboard-response,31,82196,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.7014775390499407
917,f,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,True,critical,html-keyboard-response,33,84128,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.4510595431392599
940,j,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,False,critical,html-keyboard-response,35,86070,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.36379266577644687
1156,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,False,critical,html-keyboard-response,37,88235,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,0.4557571390221449
1052,j,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,False,critical,html-keyboard-response,39,90298,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,0.06115908485985996
1028,j,capitals,40,state,Virginia,Richmond,Virginia Beach,What is the capital of Virginia?,The capital of Virginia is,0.231,0.45,1.948051948,False,critical,html-keyboard-response,41,92340,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.029902004562205788
1539,j,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,False,critical,html-keyboard-response,43,94883,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,1.9089403577159443
1161,j,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,False,critical,html-keyboard-response,45,97055,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,0.4747281993184086
861,f,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,True,critical,html-keyboard-response,47,98922,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.6635354184574134
924,f,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,True,critical,html-keyboard-response,49,100851,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.4245000587244907
871,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,51,102731,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.6255932978648859
761,f,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,True,critical,html-keyboard-response,53,104506,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-1.0429566243826873
814,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,False,critical,html-keyboard-response,55,106328,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.8418633852422921
945,j,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,False,critical,html-keyboard-response,57,108291,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.3448216054801832
786,f,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,True,critical,html-keyboard-response,59,110095,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.9481013229013688
876,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,61,111974,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.6066222375686222
1005,j,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,False,critical,html-keyboard-response,63,113982,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.1171688819250188
1114,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,True,critical,html-keyboard-response,65,116112,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,0.2964002325335298
874,j,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,67,118002,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.6142106616871277
1062,f,capitals,10,country,Turkey,Ankara,Istanbul,What is the capital of Turkey?,The capital of Turkey is,5.55,16.24,2.926126126,True,critical,html-keyboard-response,69,120072,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,0.09910120545238736
939,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,71,122017,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.3675868778356996
990,f,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,True,critical,html-keyboard-response,73,124018,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.1740820628138099
969,f,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,75,125990,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.25376051605811745
1075,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,77,128082,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,0.14842596222267299
855,f,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,True,critical,html-keyboard-response,79,129950,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,-0.6863006908129298
2104,f,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,True,critical,html-keyboard-response,81,133067,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,4.052670171193742
982,j,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,False,critical,html-keyboard-response,83,135061,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,-0.2044357592878318
1084,f,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,critical,html-keyboard-response,85,137149,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,left,0.18257387075594764
1066,j,capitals,2,country,Brazil,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,critical,html-keyboard-response,87,139228,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,0.11427805368939832
1118,j,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,False,critical,html-keyboard-response,89,141363,subject_14,67d993866d1d7516d87e97de,67f5520928787542c8c6bebc,0.1851916936155551,1,right,0.3115770807705408
3068,j,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,False,critical,html-keyboard-response,7,124274,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,1,right,2.178412063282033
2379,j,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,True,critical,html-keyboard-response,9,127657,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,1.295749350456938
1573,j,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,11,130234,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,0.26320051658607185
1642,f,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,False,critical,html-keyboard-response,13,132880,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,left,0.351594895664347
1334,j,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,False,critical,html-keyboard-response,15,135218,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,1,right,-0.042977115293750735
1055,j,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,True,critical,html-keyboard-response,17,137276,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,-0.4003978654798198
1126,f,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,True,critical,html-keyboard-response,19,139411,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,1,left,-0.30944133048623235
532,j,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,True,critical,html-keyboard-response,21,140947,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,-1.0704016373339922
534,f,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,False,critical,html-keyboard-response,23,142483,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,left,-1.06783948141868
1109,f,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,False,critical,html-keyboard-response,25,144596,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,left,-0.33121965576638707
1985,j,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,True,critical,html-keyboard-response,27,147585,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,0.7910046351404104
1812,j,capitals,40,state,Virginia,Richmond,Virginia Beach,What is the capital of Virginia?,The capital of Virginia is,0.231,0.45,1.948051948,True,critical,html-keyboard-response,29,150401,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,0.5693781484658945
1944,f,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,False,critical,html-keyboard-response,31,153348,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,left,0.7384804388765078
2235,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,True,critical,html-keyboard-response,33,156586,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,1.1112741245544508
744,j,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,False,critical,html-keyboard-response,35,158334,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,1,right,-0.798813110310886
514,j,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,False,critical,html-keyboard-response,37,159851,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,1,right,-1.0934610405718033
361,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,False,critical,html-keyboard-response,39,161214,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,left,-1.289465968093196
1414,f,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,True,critical,html-keyboard-response,41,163632,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,1,left,0.059509121318742184
561,j,capitals,10,country,Turkey,Ankara,Istanbul,What is the capital of Turkey?,The capital of Turkey is,5.55,16.24,2.926126126,False,critical,html-keyboard-response,43,165196,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,1,right,-1.0332503765619636
492,f,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,False,critical,html-keyboard-response,45,166691,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,left,-1.1216447556402387
734,j,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,True,critical,html-keyboard-response,47,168428,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,-0.8116238898874476
1467,j,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,False,critical,html-keyboard-response,49,170899,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,1,right,0.12740625307451875
1546,j,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,True,critical,html-keyboard-response,51,173448,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,0.2286114117293555
2459,f,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,53,176912,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,left,1.398235587069431
1340,j,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,55,179255,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,1,right,-0.03529064754781377
1433,j,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,True,critical,html-keyboard-response,57,181692,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,0.08384960251420925
4049,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,True,critical,html-keyboard-response,59,186745,subject_38,67d993866d1d7516d87e97de,67f5549f993bf9f3b7aad9cb,0.30274368921208916,0,right,3.4351495397427274
